,value,description
0,2575300,"Undefined Value for Scotland (geography), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
1,69700,"Undefined Value for Scotland (geography), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
2,1326000,"Undefined Value for Scotland (geography), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
3,56800,"Undefined Value for Scotland (geography), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
4,1249200,"Undefined Value for Scotland (geography), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
5,13000,"Undefined Value for Scotland (geography), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
6,2258700,"Undefined Value for Scotland (geography), Employee (Employee/Self-employed), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
7,63300,"Undefined Value for Scotland (geography), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
8,1121200,"Undefined Value for Scotland (geography), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
9,51200,"Undefined Value for Scotland (geography), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
10,1137400,"Undefined Value for Scotland (geography), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
11,12000,"Undefined Value for Scotland (geography), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
12,1870300,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
13,65600,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
14,1153400,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
15,55500,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
16,716800,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
17,10100,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
18,1650100,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
19,60200,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
20,985200,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
21,50500,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
22,664900,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
23,9700,"Undefined Value for Scotland (geography), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
24,2116000,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
25,60000,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
26,1053300,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
27,48500,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
28,1062700,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
29,11400,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
30,2116000,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
31,60000,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
32,1053300,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
33,48500,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
34,1062700,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
35,11400,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
36,1573700,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
37,57500,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
38,942600,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
39,48200,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
40,631100,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
41,9300,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
42,1573700,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
43,57500,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
44,942600,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
45,48200,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
46,631100,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
47,9300,"Undefined Value for Scotland (geography), Permanent (Permanent/non-permanent), Full-time (Full/Part-time), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
48,39100,"Undefined Confidence for Scotland (geography), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
49,6400,"Undefined Confidence for Scotland (geography), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
50,28100,"Undefined Confidence for Scotland (geography), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
51,5800,"Undefined Confidence for Scotland (geography), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
52,27300,"Undefined Confidence for Scotland (geography), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
53,2800,"Undefined Confidence for Scotland (geography), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
54,36700,"Undefined Confidence for Scotland (geography), Employee (Employee/Self-employed), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
55,6100,"Undefined Confidence for Scotland (geography), Employee (Employee/Self-employed), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
56,25800,"Undefined Confidence for Scotland (geography), Employee (Employee/Self-employed), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
57,5500,"Undefined Confidence for Scotland (geography), Employee (Employee/Self-employed), Males (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
58,26000,"Undefined Confidence for Scotland (geography), Employee (Employee/Self-employed), Females (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
59,2700,"Undefined Confidence for Scotland (geography), Employee (Employee/Self-employed), Females (Sex), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
60,33400,"Undefined Confidence for Scotland (geography), Full-time (Full/Part-time), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
61,6200,"Undefined Confidence for Scotland (geography), Full-time (Full/Part-time), 213 Information Technology and Telecommunications Professionals (Occupation), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
62,26200,"Undefined Confidence for Scotland (geography), Full-time (Full/Part-time), Males (Sex), Count (measure) for Jul 2015-Jun 2016 from annual population survey - regional - occupation by sex by employment type"
